Episode,AvgProfit,WinRate,Epsilon,Fold%,Call%,Raise%
24200,-21.8,53.0,0.4470,1.7,61.5,36.8
24300,-37.6,57.0,0.4456,0.0,67.6,32.4
24400,95.2,58.0,0.4441,0.9,59.6,39.5
24500,58.9,51.0,0.4426,1.8,65.2,33.0
24600,26.2,49.0,0.4412,0.9,69.0,30.1
24700,178.8,63.0,0.4395,4.0,53.2,42.7
24800,91.2,65.0,0.4381,0.0,67.6,32.4
24900,-79.8,63.0,0.4367,1.7,61.7,36.5
25000,71.0,60.0,0.4351,0.0,65.0,35.0
25100,40.8,56.0,0.4337,0.0,69.9,30.1
25200,73.2,61.0,0.4322,1.7,57.3,41.0
25300,55.8,63.0,0.4308,0.9,66.4,32.7
25400,59.9,56.0,0.4293,0.9,59.8,39.3
25500,40.2,54.0,0.4278,0.0,64.0,36.0
25600,12.4,54.0,0.4264,0.0,60.2,39.8
25700,9.8,49.0,0.4250,0.0,68.4,31.6
25800,137.7,65.0,0.4236,0.9,58.9,40.2
25900,207.4,64.0,0.4222,0.9,66.1,33.0
26000,119.3,59.0,0.4209,0.9,64.2,34.9
26100,72.2,60.0,0.4194,1.7,60.0,38.3
26200,-26.8,50.0,0.4181,0.9,67.6,31.5
26300,58.2,60.0,0.4167,0.0,63.1,36.9
26400,43.2,56.0,0.4153,0.9,64.7,34.5
26500,111.5,64.0,0.4139,1.7,56.9,41.4
26600,16.9,56.0,0.4125,0.9,66.7,32.4
26700,55.3,56.0,0.4111,0.9,62.4,36.8
26800,-34.9,53.0,0.4096,2.4,52.8,44.8
26900,68.3,53.0,0.4083,0.9,67.6,31.5
27000,70.0,59.0,0.4070,0.9,60.9,38.2
27100,47.9,57.0,0.4056,0.9,56.4,42.7
27200,39.5,67.0,0.4044,0.9,60.2,38.9
27300,50.5,59.0,0.4030,2.5,56.8,40.7
27400,25.3,56.0,0.4016,0.9,58.8,40.4
27500,61.2,55.0,0.4004,0.9,62.6,36.4
27600,97.6,58.0,0.3991,0.0,65.7,34.3
27700,-161.8,44.0,0.3977,0.0,52.8,47.2
27800,-8.9,65.0,0.3964,1.8,60.2,38.1
27900,94.7,60.0,0.3952,1.0,63.8,35.2
28000,132.3,56.0,0.3939,0.0,56.6,43.4
28100,9.8,58.0,0.3926,0.9,62.0,37.0
28200,183.0,65.0,0.3914,0.0,60.2,39.8
28300,-22.8,53.0,0.3901,0.9,49.6,49.6
28400,29.2,56.0,0.3887,0.9,62.6,36.5
28500,126.2,67.0,0.3875,1.8,57.5,40.7
28600,132.6,63.0,0.3862,1.8,66.1,32.1
28700,129.4,55.0,0.3849,2.6,64.9,32.5
28800,105.2,58.0,0.3838,0.0,70.5,29.5
28900,183.4,66.0,0.3825,0.0,65.8,34.2
29000,102.8,57.0,0.3812,1.7,52.1,46.3
29100,131.2,65.0,0.3799,2.6,60.9,36.5
29200,21.9,58.0,0.3786,0.8,54.2,44.9
29300,134.4,60.0,0.3774,0.0,62.8,37.2
29400,-92.8,56.0,0.3762,0.9,64.5,34.5
29500,32.8,69.0,0.3750,0.9,63.6,35.5
29600,-22.6,55.0,0.3739,0.0,69.1,30.9
29700,26.8,60.0,0.3726,0.9,58.8,40.4
29800,71.2,57.0,0.3715,0.0,65.1,34.9
29900,89.2,68.0,0.3702,1.7,56.9,41.4
30000,-45.6,57.0,0.3691,0.0,63.2,36.8
30100,45.2,56.0,0.3679,0.0,64.9,35.1
30200,109.7,66.0,0.3667,0.0,62.5,37.5
30300,-27.2,54.0,0.3656,1.8,61.5,36.7
30400,178.1,62.0,0.3644,0.9,62.1,37.1
30500,160.1,66.0,0.3632,0.0,67.3,32.7
30600,213.9,57.0,0.3619,0.0,58.1,41.9
30700,9.6,56.0,0.3607,0.0,53.9,46.1
30800,77.2,62.0,0.3596,0.9,62.8,36.3
30900,61.4,63.0,0.3583,0.9,53.0,46.2
31000,69.5,54.0,0.3571,1.7,55.4,43.0
31100,58.4,58.0,0.3560,0.0,70.3,29.7
31200,35.4,54.0,0.3549,0.0,68.8,31.2
31300,98.1,59.0,0.3538,0.0,65.4,34.6
31400,60.0,62.0,0.3527,0.0,60.4,39.6
31500,169.2,62.0,0.3515,0.0,60.9,39.1
31600,52.1,56.0,0.3504,0.0,69.1,30.9
31700,52.0,51.0,0.3493,0.9,57.4,41.7
31800,49.8,57.0,0.3482,1.8,64.3,33.9
31900,28.1,53.0,0.3471,0.0,65.1,34.9
32000,112.3,65.0,0.3460,1.7,67.0,31.3
32100,-33.1,60.0,0.3449,0.0,65.8,34.2
32200,-32.2,54.0,0.3437,0.8,58.8,40.3
32300,169.6,65.0,0.3426,1.8,57.7,40.5
32400,-14.8,51.0,0.3415,1.7,60.0,38.3
32500,-52.6,51.0,0.3405,0.0,72.1,27.9
32600,39.9,58.0,0.3394,1.9,62.0,36.1
32700,-127.8,53.0,0.3383,0.8,59.5,39.7
32800,10.6,52.0,0.3372,0.9,60.2,38.9
32900,5.2,51.0,0.3361,1.7,66.1,32.2
33000,93.9,56.0,0.3350,0.0,64.9,35.1
33100,100.8,58.0,0.3339,0.9,61.9,37.2
33200,161.0,65.0,0.3328,2.5,49.6,47.9
33300,107.5,62.0,0.3317,1.7,65.2,33.0
33400,100.2,56.0,0.3306,0.8,59.7,39.5
33500,-37.4,48.0,0.3295,0.0,55.2,44.8
33600,-18.2,45.0,0.3284,1.7,58.0,40.3
33700,171.1,61.0,0.3272,3.2,46.0,50.8
33800,94.3,66.0,0.3261,1.7,52.1,46.2
33900,41.6,61.0,0.3251,0.9,59.5,39.6
34000,-28.6,43.0,0.3241,0.0,57.8,42.2
34100,92.4,58.0,0.3230,0.8,55.8,43.3
34200,78.9,61.0,0.3219,1.7,53.8,44.4
34300,79.7,62.0,0.3209,0.0,61.1,38.9
34400,32.9,58.0,0.3199,0.9,56.6,42.5
34500,116.1,62.0,0.3189,0.0,55.7,44.3
34600,129.2,64.0,0.3178,1.7,61.9,36.4
34700,-88.3,56.0,0.3168,1.7,56.5,41.7
34800,83.8,61.0,0.3158,1.8,60.5,37.7
34900,73.1,61.0,0.3148,0.0,55.8,44.2
35000,142.8,61.0,0.3138,1.7,47.8,50.4
35100,101.0,63.0,0.3127,0.9,59.8,39.3
35200,-22.7,49.0,0.3118,0.9,60.9,38.2
35300,160.1,68.0,0.3108,0.0,63.1,36.9
35400,-44.4,50.0,0.3099,0.9,62.6,36.4
35500,117.0,60.0,0.3089,0.0,59.8,40.2
35600,138.7,64.0,0.3079,1.6,48.8,49.6
35700,180.3,64.0,0.3069,0.9,59.6,39.5
35800,130.6,60.0,0.3059,1.7,53.7,44.6
35900,153.2,61.0,0.3049,0.9,61.9,37.2
36000,151.0,57.0,0.3039,0.0,60.3,39.7
36100,251.9,65.0,0.3029,0.9,57.3,41.9
36200,198.2,69.0,0.3019,0.0,47.1,52.9
36300,176.7,66.0,0.3009,1.7,52.9,45.4
36400,154.7,58.0,0.2999,3.1,51.2,45.7
36500,-6.7,58.0,0.2989,1.7,44.6,53.7
36600,-135.7,53.0,0.2979,3.4,59.0,37.6
36700,42.6,57.0,0.2969,1.7,54.7,43.6
36800,50.7,54.0,0.2959,0.8,48.7,50.4
36900,-36.0,58.0,0.2950,2.6,54.4,43.0
37000,98.7,60.0,0.2941,1.7,53.0,45.3
37100,185.7,65.0,0.2931,0.0,55.7,44.3
37200,-57.4,53.0,0.2921,1.6,51.6,46.8
37300,77.9,59.0,0.2911,0.8,51.3,47.9
37400,148.2,66.0,0.2903,0.9,52.3,46.8
37500,48.0,58.0,0.2893,2.6,57.8,39.7
37600,192.3,61.0,0.2884,0.0,55.7,44.3
